ID,price,yearBuilt,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,pool,spa
203,227000,2003,2034,2,4,1,0,0,0,0
204,135000,1979,1827,2,3,1,0,0,0,0
205,425000,1994,4061,5,5,1,0,0,0,0
206,209900,2021,1672,2,3,1,0,0,0,0
207,189900,1993,1789,2,3,1,0,0,0,0
208,183500,1985,1721,2,3,1,0,0,0,0
209,419000,1972,4966,5,4,1,0,0,1,0
210,112900,1996,1176,2,3,1,0,0,0,0
211,338500,1976,3805,3,4,1,0,0,0,0
212,625000,1990,4354,4,4,0,0,0,0,0
213,174900,1964,1667,2,3,0,0,0,0,0
214,135900,1978,1993,2,4,1,0,0,0,0
215,144500,1967,1675,3,3,0,0,0,1,0
216,195000,1985,2163,3,4,1,0,0,1,0
217,382500,1988,3598,4,4,1,0,0,0,0
218,499900,1973,3430,3,4,1,0,1,1,0
219,998950,1988,8527,7,8,0,0,1,1,0
220,799000,2017,3290,4,5,1,0,0,0,0
221,749900,1997,6774,9,6,1,0,1,0,1
222,435000,1990,2483,3,4,1,0,1,1,1
223,625000,1987,3770,3,4,1,0,1,0,0
224,1100000,1997,9035,5,6,1,0,1,1,0
225,630000,1984,1875,2,2,1,1,1,1,0
226,449900,2015,2265,3,3,1,0,1,0,0
227,630000,2009,6746,4,4,1,0,1,0,0
228,525000,2017,3116,3,4,1,0,0,0,0
229,849900,2002,4259,5,4,1,0,1,0,0
230,749000,2013,6200,5,5,1,0,1,0,0
231,740000,2007,3530,4,4,1,0,1,0,0
232,710000,1997,3198,3,3,1,0,1,0,1
233,1199000,2002,5352,5,4,1,0,1,0,1
234,1149000,2001,6589,7,6,1,0,1,0,1
235,449000,1983,808,1,2,1,0,0,0,0
236,889000,1996,5097,7,4,1,0,1,0,1
237,289900,1980,2007,3,4,1,1,1,0,0
238,265000,1993,1927,2,3,1,0,1,0,0
239,349900,2003,2198,2,4,0,0,1,0,1
240,260000,1987,1356,2,3,1,2,1,0,0
241,296000,2016,1344,2,3,0,0,0,0,0
242,199900,1988,1074,2,3,1,0,1,0,0
243,367832,2021,2145,3,3,1,2,1,0,0
244,250000,2002,1414,2,3,1,2,1,0,0
245,865000,1995,6250,7,7,1,3,1,0,0
246,335000,1999,2467,3,3,1,2,1,0,0
247,231900,1977,1428,2,3,1,0,0,0,0
